id,city,county,state,population,density
967,Winterport,Waldo,Maine,3837.0,41.7
968,Wytopitlock,Aroostook,Maine,345.0,0.6
969,Alna,Lincoln,Maine,747.0,13.8
970,Boothbay,Lincoln,Maine,1438.0,34.4
971,Boothbay Harbor,Lincoln,Maine,1737.0,148.1
972,Chamberlain,Lincoln,Maine,55.0,61.1
973,Damariscotta,Lincoln,Maine,2257.0,70.1
974,East Boothbay,Lincoln,Maine,1057.0,108.6
975,Friendship,Knox,Maine,1145.0,31.3
976,Bremen,Lincoln,Maine,815.0,19.1
977,Newcastle,Lincoln,Maine,1766.0,23.5
978,New Harbor,Lincoln,Maine,676.0,64.1
979,Nobleboro,Lincoln,Maine,1554.0,31.7
980,Edgecomb,Lincoln,Maine,1314.0,28.1
981,Pemaquid,Lincoln,Maine,276.0,19.1
982,Phippsburg,Sagadahoc,Maine,1961.0,26.3
983,Cushing,Knox,Maine,1464.0,29.4
984,Round Pond,Lincoln,Maine,436.0,22.4
985,South Bristol,Lincoln,Maine,516.0,38.3
986,Squirrel Island,Lincoln,Maine,0.0,0.0
987,Trevett,Lincoln,Maine,552.0,102.5
988,Waldoboro,Lincoln,Maine,5178.0,28.0
989,West Boothbay Harbor,Lincoln,Maine,336.0,110.8
990,Southport,Lincoln,Maine,467.0,35.3
991,Wiscasset,Lincoln,Maine,4657.0,53.8
992,Woolwich,Sagadahoc,Maine,3112.0,34.3
993,Ellsworth,Hancock,Maine,14686.0,21.4
994,Addison,Washington,Maine,1192.0,10.8
995,Gouldsboro,Hancock,Maine,1308.0,11.0
996,Bar Harbor,Hancock,Maine,5161.0,47.2
997,Beals,Washington,Maine,513.0,35.3
998,Bernard,Hancock,Maine,490.0,45.1
999,Birch Harbor,Hancock,Maine,93.0,24.0
1000,Blue Hill,Hancock,Maine,2797.0,17.3
1001,Brooklin,Hancock,Maine,745.0,16.0
1002,Brooksville,Hancock,Maine,725.0,12.6
1003,Calais,Washington,Maine,3078.0,34.6
1004,Cherryfield,Washington,Maine,868.0,1.1
1005,Columbia Falls,Washington,Maine,1124.0,3.6
1006,Corea,Hancock,Maine,136.0,9.0
1007,Cranberry Isles,Hancock,Maine,52.0,8.4
1008,Cutler,Washington,Maine,517.0,4.3
1009,Deer Isle,Hancock,Maine,2044.0,30.4
1010,Dennysville,Washington,Maine,501.0,1.9
1011,East Machias,Washington,Maine,1377.0,5.9
1012,Eastport,Washington,Maine,1211.0,128.6
1013,Frenchboro,Hancock,Maine,10.0,1.6
1014,Harborside,Hancock,Maine,159.0,7.2
1015,Harrington,Washington,Maine,845.0,15.5
1016,Isle Au Haut,Knox,Maine,43.0,1.3
1017,Islesford,Hancock,Maine,100.0,49.0
1018,Jonesboro,Washington,Maine,593.0,7.7
1019,Jonesport,Washington,Maine,1206.0,16.3
1020,Little Deer Isle,Hancock,Maine,280.0,31.9
1021,Lubec,Washington,Maine,1461.0,9.2
1022,Bass Harbor,Hancock,Maine,700.0,76.1
1023,Machias,Washington,Maine,3385.0,10.8
1024,Machiasport,Washington,Maine,924.0,16.7
1025,Meddybemps,Washington,Maine,322.0,1.6
1026,Milbridge,Washington,Maine,1369.0,22.2
1027,Mount Desert,Hancock,Maine,1102.0,14.4
1028,Northeast Harbor,Hancock,Maine,487.0,43.6
1029,Perry,Washington,Maine,1324.0,17.1
1030,Prospect Harbor,Hancock,Maine,144.0,31.9
1031,Robbinston,Washington,Maine,626.0,8.6
1032,Sargentville,Hancock,Maine,186.0,23.6
1033,Seal Cove,Hancock,Maine,313.0,13.3
1034,Seal Harbor,Hancock,Maine,83.0,10.3
1035,Sedgwick,Hancock,Maine,1169.0,18.6
1036,Sorrento,Hancock,Maine,286.0,27.6
1037,Southwest Harbor,Hancock,Maine,1496.0,42.7
1038,Steuben,Washington,Maine,1248.0,11.2
1039,Stonington,Hancock,Maine,826.0,32.5
1040,Sunset,Hancock,Maine,0.0,0.0
1041,Surry,Hancock,Maine,1756.0,18.3
1042,Swans Island,Hancock,Maine,417.0,10.1
1043,Wesley,Washington,Maine,191.0,0.6
1044,Whiting,Washington,Maine,515.0,4.3
1045,Winter Harbor,Hancock,Maine,434.0,11.7
1046,Baileyville,Washington,Maine,2352.0,6.8
1047,Houlton,Aroostook,Maine,10092.0,15.9
1048,Benedicta,Aroostook,Maine,483.0,3.0
1049,Blaine,Aroostook,Maine,832.0,8.0
1050,Caribou,Aroostook,Maine,9022.0,22.1
1051,Clayton Lake,Aroostook,Maine,0.0,0.0
1052,Eagle Lake,Aroostook,Maine,791.0,1.6
1053,Easton,Aroostook,Maine,1341.0,13.4
1054,Fort Fairfield,Aroostook,Maine,3323.0,16.7
1055,Fort Kent,Aroostook,Maine,4701.0,10.9
1056,Frenchville,Aroostook,Maine,872.0,11.7
1057,Grand Isle,Aroostook,Maine,392.0,4.1
1058,Island Falls,Aroostook,Maine,1295.0,1.6
1059,Limestone,Aroostook,Maine,1926.0,9.5
1060,Madawaska,Aroostook,Maine,3190.0,75.0
1061,Mapleton,Aroostook,Maine,2635.0,4.9
1062,Mars Hill,Aroostook,Maine,1438.0,15.8
1063,Monticello,Aroostook,Maine,713.0,3.6
1064,New Limerick,Aroostook,Maine,465.0,9.9
1065,New Sweden,Aroostook,Maine,505.0,5.7
1066,Oakfield,Aroostook,Maine,656.0,7.2
1067,Oxbow,Aroostook,Maine,14.0,0.0
1068,Patten,Penobscot,Maine,1030.0,0.5
1069,Perham,Aroostook,Maine,327.0,3.5
1070,Portage,Aroostook,Maine,397.0,1.8
1071,Presque Isle,Aroostook,Maine,8772.0,44.7
1072,Saint Agatha,Aroostook,Maine,885.0,11.6
1073,Saint David,Aroostook,Maine,691.0,6.6
1074,Saint Francis,Aroostook,Maine,609.0,1.5
1075,Sherman,Aroostook,Maine,955.0,3.9
1076,Stacyville,Penobscot,Maine,427.0,2.1
1077,Sinclair,Aroostook,Maine,333.0,1.3
1078,Smyrna Mills,Aroostook,Maine,899.0,2.0
1079,Wallagrass,Aroostook,Maine,513.0,4.3
